track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,track_popularity,artist_popularity,duration_min
5Fim1gaXBgsiFfsQAfQSDS,0.832,0.608,6,-6.042,0,0.0385,0.282,0.0,0.0761,0.589,94.013,4,74,80,3.311783333333333
3eSJmGWqoBRx5wbFCtvPtz,0.591,0.785,9,-7.768,1,0.161,0.161,0.0,0.126,0.785,106.002,4,71,62,3.625783333333333
0tIpUUbOYIWqvI50Ksf7D5,0.827,0.788,7,-11.937,0,0.0831,0.246,0.0,0.0764,0.815,109.933,4,74,59,2.8334166666666665
6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4,85,82,3.09555
7iN1s7xHE4ifF5povM6A48,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,4,79,82,4.05045
2EqlS6tkEnglzr7tkKAAYD,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,4,79,82,4.33245
3BQHpFgAp4l80e1XslIjNI,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,4,78,82,2.09445
5ZBeML7Lf3FMEVviTyvi8l,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,4,79,82,2.5871166666666667
3KfbEIOC7YIv90FIfNSZpo,0.688,0.435,9,-11.359,1,0.0323,0.449,0.0,0.113,0.435,103.239,4,77,82,2.438883333333333
0aym2LBJBk9DAYuHHutrIl,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,4,73,82,7.094216666666667
4pbG9SUmWIvsROVLF0zF9s,0.49,0.715,7,-5.549,1,0.0476,0.386,0.0,0.311,0.866,130.726,4,70,82,2.429116666666667
0pNeVovbiZHkulpGeOx1Gj,0.396,0.338,0,-10.872,1,0.0304,0.198,2.62e-06,0.138,0.377,133.522,4,74,82,3.0382166666666666
4QNpBfC0zvjKqPJcyqBy9W,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,4,85,81,4.205116666666667
3cHyrEgdyYRjgJKSOiOtcS,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,4,84,81,3.4026666666666667
0Hf4aIJpsN4Os2f0y0VqWl,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,4,80,81,3.8251166666666654
62zFEHfAYl5kdHYOivj4BC,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,4,78,81,3.788
4Y7XAxTANhu3lmnLAzhWJW,0.761,0.933,10,-5.38,1,0.056,0.0908,8.53e-05,0.0607,0.836,122.959,4,77,81,3.9366666666666665
1PCvKFPWnTXAe2oaReVUcr,0.592,0.935,6,-4.317,0,0.0581,0.00879,0.0154,0.132,0.567,125.013,4,73,81,3.708666666666667
0OPyDgTRuIdCJ9B4bYSths,0.85,0.631,1,-8.401,1,0.227,0.00684,0.000406,0.0679,0.738,126.002,4,74,81,3.96
